Date, Open , High , Low , Last ,Ask High,Bid Low
05-08-13,1.2706,1.2737,1.2657,1.2687,1.2743,1.2657
06-08-13,1.2689,1.2693,1.2653,1.2663,1.27,1.2653
07-08-13,1.2661,1.2693,1.2656,1.267,1.2699,1.2656
08-08-13,1.2667,1.2678,1.2583,1.2592,1.2685,1.2583
09-08-13,1.2592,1.2616,1.2563,1.2571,1.2622,1.2563
12-08-13,1.2571,1.2629,1.2555,1.2622,1.2635,1.2555
13-08-13,1.2622,1.2679,1.2614,1.2674,1.2687,1.2614
14-08-13,1.2674,1.2721,1.2661,1.2696,1.2728,1.2661
15-08-13,1.2696,1.2755,1.2667,1.2686,1.276,1.2667
16-08-13,1.2686,1.2726,1.2672,1.2701,1.2733,1.2672
19-08-13,1.2693,1.2775,1.2689,1.2773,1.2782,1.2689
20-08-13,1.2773,1.2799,1.2729,1.2735,1.2806,1.2729
21-08-13,1.2735,1.2838,1.2729,1.2831,1.2846,1.2729
22-08-13,1.2836,1.2859,1.2796,1.2811,1.2867,1.2796
23-08-13,1.2811,1.2824,1.2774,1.2785,1.2832,1.2774
26-08-13,1.2788,1.2819,1.2769,1.2805,1.2825,1.2769
27-08-13,1.2805,1.2854,1.2798,1.2817,1.286,1.2798
28-08-13,1.2822,1.2847,1.2756,1.276,1.2853,1.2756
29-08-13,1.276,1.2791,1.2738,1.2743,1.2797,1.2738
30-08-13,1.2745,1.2769,1.2721,1.2743,1.2775,1.2721
02-09-13,1.2731,1.2757,1.2715,1.2732,1.2766,1.2715
03-09-13,1.2732,1.2789,1.271,1.2781,1.2796,1.271
04-09-13,1.2781,1.2788,1.2721,1.2743,1.2795,1.2721
05-09-13,1.2743,1.2812,1.2731,1.281,1.2818,1.2731
06-09-13,1.2805,1.281,1.2724,1.2734,1.2818,1.2724
09-09-13,1.2731,1.2757,1.2676,1.2686,1.2764,1.2676
10-09-13,1.2686,1.2709,1.2671,1.2685,1.2714,1.2671
11-09-13,1.268,1.2707,1.2647,1.266,1.2712,1.2647
12-09-13,1.2657,1.2689,1.2643,1.2671,1.2694,1.2643
13-09-13,1.2669,1.2712,1.2662,1.269,1.2718,1.2662
16-09-13,1.2677,1.2687,1.2585,1.2612,1.2696,1.2585
17-09-13,1.2612,1.2645,1.2578,1.2591,1.2652,1.2578
18-09-13,1.2591,1.2609,1.2457,1.2463,1.2617,1.2457
19-09-13,1.2463,1.2481,1.2416,1.2465,1.2488,1.2416
20-09-13,1.2462,1.2524,1.2443,1.251,1.253,1.2443
23-09-13,1.251,1.2536,1.2473,1.2492,1.2542,1.2473
24-09-13,1.2495,1.2558,1.2493,1.2542,1.2564,1.2493
25-09-13,1.2537,1.2573,1.2521,1.254,1.2579,1.2521
26-09-13,1.2539,1.2561,1.2517,1.2545,1.2567,1.2517
27-09-13,1.2546,1.2568,1.2535,1.2561,1.2574,1.2535
